Index,AvgBlockSize,BitcoinDaysDestroyed,BitcoinDaysDestroyedMinYear,CostPerTransactionPercent,CostPerTransaction,EstimatedTransactionVolumeUSD,EstimatedTransactionVolume,EuroPriceInUSD,MarketPrice,MedianConfirmationTime,OutputVolume,SP500.Close,SP500.Volume,TradeVolume,TransactionFeesUSD,TransactionFees,TxTradeRatio,WikipediaTrend,Y
47,48,-0.7872126547782541,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.276859513527666,-0.711431369178173,-1.10654491164431,-0.482369425010711,-1.83478090057742,1.5548722035820701,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
48,49,-0.7871430481997339,-0.532345594965423,-0.276754326525458,-0.028161399324922995,-0.732719086878351,-0.610708093989111,-0.5533826107060079,-0.383049234401772,-0.711431369178173,-1.10654491164431,-0.48179137243351794,-1.85727791985093,3.74883898118213,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
49,50,-0.7872127063271349,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.31877650860955,-0.711431369178173,-1.10654491164431,-0.482519290493686,-1.8798170558063603,3.24381946263221,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
50,51,-0.7871520206569259,-0.532419569396299,-0.276754326525458,-0.0284372604461066,-0.732719086878351,-0.610708093989111,-0.5524978836636179,-0.254503782817328,-0.711431369178173,-1.10654491164431,-0.48183419114294,-1.9023561917617802,2.7387999440823,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314355802094498,-0.711431369178173
51,52,-0.7872128010882721,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.19023105702510398,-0.711431369178173,-1.10654491164431,-0.482583518557819,-1.9248953277171998,2.23378042553238,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
52,53,-0.7872127913737109,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.22283316431101502,-0.711431369178173,-1.10654491164431,-0.482497881138976,-1.8494583149577701,2.87958710730065,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
53,54,-0.7872132054569151,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.193025523363896,-0.711431369178173,-1.10654491164431,-0.482583518557819,-1.87031038969473,3.1014642454797405,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
54,55,-0.7872126316653,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.20513487749866396,-0.711431369178173,-1.10654491164431,-0.48281902145963795,-1.9008546813134501,3.2050598196129503,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
55,56,-0.787213899495234,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.333680329083109,-0.711431369178173,-1.10654491164431,-0.48224096888244605,-1.9457473999235702,4.38636368794628,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
56,57,-0.7870169324949909,-0.531399467131641,-0.276754326525458,-0.0287982276578671,-0.732719086878351,-0.610708093989111,-0.549843702536449,-0.348584149556669,-0.711431369178173,-1.10654491164431,-0.481919828561783,-1.9746552396803898,4.07224517746912,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
